ym,G_conflict_count,G_hotspot_count,P_sanction_count,D_negative_count,avg_tone,avg_goldstein,total_articles,total_events
2015-02,69675,23841,11530,179044,-2.0654,0.691,4141172,875642
2015-03,207800,73795,35483,476065,-1.8609,0.6827,12526656,2667285
2015-04,196193,68339,33449,454101,-1.8238,0.7272,12126369,2529984
2015-05,182033,56803,27403,435450,-1.8037,0.7714,11614073,2333400
2015-06,182669,49378,30626,424856,-1.8442,0.6812,11168809,2237279
2015-07,218523,59475,34897,485886,-1.7794,0.7451,13528274,2803703
2015-08,228030,61543,30918,502573,-1.982,0.5858,12384910,2625785
2015-09,200007,61941,32389,454614,-1.6764,0.8768,12952483,2781893
2015-10,253460,102021,29453,495043,-1.8995,0.5878,12897915,2757290
2015-11,232943,92822,31073,534398,-2.0354,0.6031,12552652,2686699
2015-12,244867,85359,36026,530966,-2.0964,0.4509,12055509,2573530
2016-01,216088,73839,37636,539897,-2.1198,0.5823,12464646,2725186
2016-02,222190,73888,33785,490441,-1.8956,0.6482,12710696,2769787
2016-03,228595,69959,35622,528946,-1.8863,0.6001,13394282,2893877
2016-04,207822,61247,35349,487442,-1.8009,0.7255,13102479,2808896
2016-05,230955,63199,35377,484669,-1.6634,0.654,13582445,2889395
2016-06,268498,60927,37475,545831,-1.8643,0.4888,13447689,2873019
2016-07,272120,63529,31687,548101,-1.9817,0.3655,13167428,2821854
2016-08,266997,87919,31850,557674,-2.0197,0.4706,13367444,2887004
2016-09,245816,69016,34770,570784,-1.9047,0.6657,14296363,3064382
2016-10,245318,83432,34169,583257,-1.9715,0.5736,13966052,3044237
2016-11,224272,59771,33161,462478,-1.5669,0.6757,13466952,2939394
2016-12,231762,85774,37792,501575,-1.8879,0.583,13033133,2805910
2017-01,213620,60735,62917,481536,-1.7742,0.6268,13521091,3004579
2017-02,218102,64410,69813,519004,-1.955,0.5154,13131815,2972630
2017-03,219849,60860,57834,532786,-1.8025,0.6177,14053077,3069685
2017-04,240463,67853,35331,573529,-2.1199,0.466,12935682,2840034
2017-05,201609,51025,38435,459019,-1.6961,0.7504,12663137,2776182
2017-06,206113,59784,40598,485355,-1.9098,0.5951,11824653,2555034
2017-07,180495,44361,44909,423111,-1.9631,0.6301,11279515,2422761
2017-08,179809,38551,37320,483537,-2.1848,0.5436,10884734,2377767
2017-09,176874,45794,39860,448253,-1.8609,0.7423,11883511,2591400
2017-10,210925,47037,36914,470532,-1.9103,0.6204,11797762,2580928
2017-11,204630,51548,32282,484323,-1.8971,0.668,11617886,2568144
2017-12,177368,51202,31101,443248,-2.0368,0.5358,10434641,2272449
2018-01,174959,46730,33103,453351,-1.9773,0.6324,10944174,2392563
2018-02,187319,52556,29621,455784,-2.0427,0.4939,10193257,2232454
2018-03,200488,50219,37610,492197,-1.8928,0.5532,12464626,2762621
2018-04,217094,60995,36555,512058,-1.9993,0.5276,11833719,2659973
2018-05,205907,60574,39131,468888,-1.751,0.7834,12592560,2827195
2018-06,169724,38911,31681,407022,-1.7007,0.8304,11117866,2483101
2018-07,174208,41365,32673,433508,-1.921,0.7066,11012380,2425768
2018-08,188853,44285,40133,523342,-2.162,0.5736,11326343,2483426
2018-09,189662,56980,31209,508521,-2.0867,0.6425,11203910,2466438
2018-10,186619,40338,31228,456185,-1.8814,0.6831,11249687,2486369
2018-11,185115,45610,39674,455693,-1.9179,0.6115,11099608,2443359
2018-12,147626,38620,33839,413920,-2.0379,0.6827,9585963,2107010
2019-01,155602,36700,30735,431996,-2.0524,0.6692,9801296,2215582
2019-02,145557,31952,31516,391154,-1.8864,0.7519,9483362,2152151
2019-03,156272,29969,39588,448647,-1.952,0.6807,10315322,2315851
2019-04,149851,26606,33151,425477,-1.8564,0.7657,9961037,2232439
2019-05,166793,35651,39801,465413,-2.0027,0.6701,10590948,2366251
2019-06,171569,45866,36931,461315,-2.0338,0.6666,10568604,2346367
2019-07,158631,38640,35180,454724,-2.0839,0.6602,10366998,2298119
2019-08,183256,36449,33008,490421,-2.272,0.5315,10068596,2248363
2019-09,152042,41056,31702,438432,-2.0135,0.7882,9929597,2221497
2019-10,156592,31716,30380,422905,-1.9406,0.7867,10068226,2282709
2019-11,138347,31473,25593,369871,-1.8492,0.742,9069299,2021991
2019-12,147657,34645,26103,402128,-2.1251,0.6405,8560697,1900927
2020-01,207611,99923,31870,526227,-2.5262,0.3114,9719018,2191690
2020-02,152166,40150,40591,449997,-2.2142,0.6377,9798663,2189376
2020-03,117008,30646,54244,355292,-2.1932,0.8856,9243029,2023813
2020-04,99432,21850,30365,292315,-2.1269,0.9959,7825762,1692064
2020-05,123321,25021,29177,357491,-2.2898,0.632,7967160,1743090
2020-06,153777,24423,36013,476919,-2.6983,0.24,8779699,1947004
2020-07,134001,28148,40062,382532,-2.3622,0.4695,8503594,1874230
2020-08,129284,20715,32763,351123,-2.2486,0.5504,7973928,1779959
2020-09,133582,24509,29348,367160,-2.1767,0.5667,8023407,1794499
2020-10,85378,18473,19001,235632,-2.1219,0.6673,5523826,1240517
2020-11,73837,18621,17142,169597,-1.7692,0.7988,4989600,1095245
2020-12,107945,25444,25362,255125,-1.8378,0.7072,7059980,1512574
2021-01,116924,22828,29152,346379,-2.2371,0.5474,7550451,1661510
2021-02,103725,23441,23545,290087,-2.0378,0.7035,6954523,1494501
2021-03,131317,25391,28445,338496,-2.0383,0.6004,7843907,1692453
2021-04,141735,29790,26896,354390,-2.1692,0.5532,8090819,1737008
2021-05,115646,19308,24298,287032,-1.9594,0.6796,7023957,1512382
2021-06,112057,21930,24758,267956,-1.8018,0.7838,7222460,1557467
2021-07,108802,20964,21504,268715,-1.9468,0.7259,6685668,1438678
2021-08,101771,19691,20256,253345,-2.1174,0.7382,6246400,1346554
2021-09,112312,21038,23811,267871,-1.874,0.8224,7206909,1576170
2021-10,114182,21771,20807,264961,-1.8435,0.701,6970251,1518547
2021-11,104381,21814,21421,275492,-1.8799,0.7188,6714417,1444064
2021-12,105979,23799,25013,271632,-1.9566,0.6822,6887194,1458838
2022-01,114194,31216,24177,290961,-2.1178,0.6582,7309776,1570276
2022-02,160599,88003,51132,405606,-2.4148,0.4518,9746334,2097496
2022-03,256013,179976,67673,572591,-2.5746,0.4017,12927386,2795669
2022-04,206771,127540,41546,480985,-2.5467,0.2915,9642127,2082677
2022-05,200465,99646,38071,403464,-2.2648,0.3351,9189508,1997232
2022-06,175889,83499,34410,346375,-2.1277,0.3377,8199994,1778898
2022-07,169620,78557,26901,339999,-2.213,0.3794,7711350,1679774
2022-08,160951,70762,29368,354717,-2.2766,0.3553,7946021,1707280
2022-09,141073,68454,27112,335992,-2.1177,0.5387,7684827,1657861
2022-10,166485,87450,25536,393246,-2.4103,0.2468,7836571,1682774
2022-11,145950,76057,22327,308333,-2.063,0.4379,7157636,1539688
2022-12,138659,70188,25342,300291,-2.112,0.4051,6959794,1457171
2023-01,174731,95581,25119,359844,-2.2727,0.234,7459699,1640935
2023-02,164797,90120,25978,320877,-2.1471,0.355,7550881,1667801
2023-03,193476,99890,32120,440146,-2.202,0.4077,9251683,2079826
2023-04,211440,93453,37624,497910,-2.0554,0.4613,10607694,2400418
2023-05,217231,102993,37262,471755,-1.9092,0.4915,10417151,2339753
2023-06,190775,95599,31006,456606,-1.9454,0.549,9839167,2201174
2023-07,189167,93492,28360,414413,-1.9493,0.4946,9168528,2037435
2023-08,200467,99004,29108,473689,-2.2196,0.3396,9061692,2031290
2023-09,177796,90361,32353,400865,-1.7954,0.6177,9452985,2126345
2023-10,193415,82885,25105,479470,-2.1945,0.4861,9176737,2053455
2023-11,169397,72094,25218,394885,-1.9738,0.5454,8281207,1839496
2023-12,169685,79621,26384,399128,-2.1458,0.3715,7856828,1726022
2024-01,210990,109852,25612,469268,-2.3255,0.1574,8612631,1890671
2024-02,180718,89839,27968,435331,-2.1536,0.3982,8660902,1926406
2024-03,189084,92363,28710,459728,-2.1843,0.3316,9073335,1999189
2024-04,208775,113421,29651,505203,-2.3086,0.1842,9212025,2027797
2024-05,176741,82774,27209,420564,-1.9847,0.4011,8816708,1946689
2024-06,158437,69353,25044,386065,-1.9128,0.5527,8193867,1811118
2024-07,178700,73426,21997,381646,-1.8405,0.5117,8348106,1881566
2024-08,203458,111736,23426,453505,-2.3339,0.1476,8170102,1836041
2024-09,173748,79787,24215,409873,-2.0491,0.4152,8069268,1814253
2024-10,199505,106055,22539,429083,-2.0649,0.3304,8774176,1958150
2024-11,170885,90242,20449,343547,-1.7499,0.436,8043828,1797296
2024-12,165958,80230,23391,393935,-2.115,0.4098,7653187,1696684
2025-01,157925,63019,28630,364561,-1.9484,0.517,7961907,1792922
2025-02,132294,52918,25591,325010,-1.7483,0.8761,8400256,1911888
2025-03,167303,77814,26371,388756,-1.88,0.6716,9371513,2134473
2025-04,162087,71388,23751,403768,-2.014,0.6723,8806543,2008434
2025-05,159488,68119,24727,377329,-1.7732,0.7485,8730431,1990468
2025-06,89531,45601,13958,234186,-2.5337,0.1528,3943642,885837
2025-07,159918,69802,22830,404483,-2.1662,0.5337,8020017,1793515
2025-08,158506,65491,22755,383627,-1.8682,0.7372,8731898,1999302
2025-09,174384,68423,23423,408777,-2.0884,0.3483,8135952,1830385
2025-10,140133,55382,24685,368752,-1.8588,0.6377,8013600,1819921
2025-11,125726,51411,19389,313997,-1.7651,0.6844,7220449,1607384
2025-12,141630,56101,19075,341308,-1.9885,0.5048,7249528,1599152
2026-01,157568,59576,20650,418632,-2.3574,0.2563,7777565,1743633
2026-02,135113,62076,19561,319194,-2.0528,0.4984,7118536,1596171
2026-03,267047,171965,20343,519136,-2.7267,-0.2877,9135628,2029066
2026-04,161775,82742,18461,388035,-2.3156,0.3852,7726460,1711960
2026-05,65241,32735,8281,154379,-2.164,0.4235,3204073,708853